,CL105_NS_Run18_0815_trimmed.result,CL146_NS_Run18_0815_trimmed.result,CL152_NS_Run18_0815_trimmed.result,CL154_NS_Run18_0815_trimmed.result,CL156_NS_Run18_0815_trimmed.result,CL162_NS_Run18_0815_trimmed.result,CL164_NS_Run18_0815_trimmed.result,CL167_trimmed.result,CL172_NS_Run18_0815_trimmed.result,CL176_trimmed.result,CL183_trimmed.result,CL187_NS_Run18_0815_trimmed.result,CL191_trimmed.result,CL196_NS_Run18_0815_trimmed.result,CL203_NS_Run18_0815_trimmed.result,CL213_trimmed.result,CL214_NS_Run18_0815_trimmed.result,CL219_NS_Run18_0815_trimmed.result,CL228_trimmed.result,CL236_trimmed.result,CL240_NS_Run18_0815_trimmed.result,CL244_trimmed.result,CL253_trimmed.result,CL41_NS_Run18_0815_trimmed.result,CL50_NS_Run18_0815_trimmed.result,CL53_NS_Run18_0815_trimmed.result,CL56_NS_Run18_0815_trimmed.result,CL85_NS_Run18_0815_trimmed.result,Female-Ctrl_NS_Run18_0815_trimmed.result,Male-Ctrl_NS_Run18_0815_trimmed.result
novelMiR_102_1,0,18,0,0,26,11,8,0,13,0,0,11,0,13,0,0,35,0,0,0,21,0,0,0,25,19,21,0,6,0
novelMiR_75_1-17,0,0,0,8,6,0,0,0,8,0,0,0,0,0,7,0,9,0,0,0,0,0,0,7,5,0,10,0,14,0
novelMiR_65-1,33,97,97,0,82,0,0,0,65,0,0,0,0,39,110,0,150,0,11,0,125,0,0,153,0,150,171,52,0,0
novelMiR_106_1,0,15,37,0,21,9,22,0,0,0,0,0,0,0,10,0,18,0,0,0,0,0,0,12,9,11,21,0,0,0
novelMiR_75_1-44,0,0,0,8,6,0,0,0,8,0,0,0,0,0,7,0,9,0,0,0,0,0,0,7,5,0,10,0,14,0
novelMiR_27_1-4,5,46,126,26,71,44,25,0,42,0,0,10,0,8,59,0,76,0,6,0,114,6,0,51,23,52,103,30,63,16
novelMiR_11-2,7178,10368,14628,6210,15946,4270,6966,168,4516,444,106,1354,204,7092,7176,10988,3926,1666,1114,12,4756,2640,66,7772,10212,5962,4272,2548,4632,2322
novelMiR_112_1,0,24,28,11,74,29,8,0,21,0,0,0,0,6,0,0,69,0,0,0,50,10,0,71,39,91,49,15,49,8
novelMiR_10-2,4309,21916,22216,3249,18141,6636,8452,48,1878,180,94,2066,213,2760,12725,6429,2549,766,1652,0,5026,1375,18,4914,3901,9501,2927,1084,5306,1338
novelMiR_115_1,0,0,11,0,15,5,8,0,5,0,0,7,0,19,0,0,19,7,0,0,7,0,0,21,5,14,16,8,7,7
novelMiR_116_1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_27_1-6,5,46,126,26,71,44,25,0,42,0,0,10,0,8,59,0,76,0,6,0,114,6,0,51,23,52,103,30,63,16
novelMiR_75_1-18,0,0,0,8,6,0,0,0,8,0,0,0,0,0,7,0,9,0,0,0,0,0,0,7,5,0,10,0,14,0
novelMiR_123_1,0,0,0,0,11,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,5,0
novelMiR_124_1,0,21,127,38,38,98,30,0,0,0,0,18,0,15,0,0,0,0,0,0,0,0,0,0,0,57,21,0,0,0
novelMiR_127_1,0,27,44,42,27,13,70,0,48,0,0,0,0,47,73,0,98,0,0,0,63,7,0,47,42,86,89,27,52,0
novelMiR_3-7,0,100,188,66,140,60,42,0,104,0,0,24,0,20,154,20,192,0,0,0,294,32,0,174,60,120,276,66,178,64
novelMiR_131_1,85,6,0,0,22,0,0,0,0,0,0,7,0,16,0,0,0,0,0,0,0,0,0,0,28,12,0,0,0,0
novelMiR_132_1,0,9,9,0,8,0,7,0,0,0,0,0,0,9,0,0,14,0,0,0,16,0,0,0,13,0,0,0,0,0
novelMiR_133_1,0,12,37,0,14,0,10,0,0,0,0,0,0,16,7,0,0,7,0,0,0,0,0,13,0,0,15,0,0,0
novelMiR_138_1,0,0,7,0,10,0,0,0,5,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,9,0
novelMiR_27-3,28,232,300,186,176,370,160,0,218,0,0,90,0,88,292,150,240,26,18,0,316,54,0,290,180,230,428,114,766,416
novelMiR_3-22,0,100,188,66,140,60,42,0,104,0,0,24,0,20,154,20,192,0,0,0,294,32,0,174,60,120,276,66,178,64
novelMiR_13_1-7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_27_1-1,5,39,121,24,62,40,25,0,39,0,0,8,0,7,55,0,67,0,5,0,105,6,0,46,17,45,94,28,58,16
novelMiR_150_1,0,546,0,0,459,1204,406,0,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,0,0,2015,0
novelMiR_75_1-36,0,0,0,8,6,0,0,0,8,0,0,0,0,0,7,0,9,0,0,0,0,0,0,7,5,0,10,0,14,0
novelMiR_75_1-13,0,0,0,8,6,0,0,0,8,0,0,0,0,0,7,0,9,0,0,0,0,0,0,7,5,0,10,0,14,0
novelMiR_13_1-1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_44_1-4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_75_1-2,0,0,0,8,6,0,0,0,8,0,0,0,0,0,7,0,9,0,0,0,0,0,0,7,5,0,10,0,14,0
novelMiR_3-40,0,100,188,66,140,60,42,0,104,0,0,24,0,20,152,20,192,0,0,0,294,32,0,174,60,120,276,66,178,64
novelMiR_13_1-2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_75_1-29,0,0,0,8,6,0,0,0,8,0,0,0,0,0,7,0,9,0,0,0,0,0,0,7,5,0,10,0,14,0
novelMiR_172_1,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
novelMiR_173_1,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
novelMiR_174_1,0,24,44,8,35,11,9,0,28,0,0,9,0,13,42,0,26,0,0,0,34,0,0,20,11,26,17,44,7,0
novelMiR_103-2,42,163,411,54,373,151,114,15,261,19,0,36,0,53,375,41,191,22,16,0,616,50,0,81,142,208,194,276,202,23
novelMiR_178_1,53,0,0,25,32,0,0,0,9,0,0,30,0,0,133,0,0,0,12,0,0,18,0,0,0,0,0,0,13,5
novelMiR_179_1,0,0,13,0,9,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
novelMiR_180_1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_183_1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_44_1-3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_44_1-6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_186_1,0,0,0,0,21,0,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_75_1-34,0,0,0,8,6,0,0,0,8,0,0,0,0,0,7,0,9,0,0,0,0,0,0,7,5,0,10,0,14,0
novelMiR_72-2,214,475,240,66,135,92,311,0,62,0,0,136,0,139,196,427,5,189,83,0,43,30,0,28,118,46,0,100,191,97
novelMiR_189_1,0,0,20,0,15,0,0,0,11,0,0,0,0,0,35,0,0,0,0,0,24,0,0,14,9,12,8,0,10,0
novelMiR_190_1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_192_1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_193_1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_194_1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
novelMiR_195_1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,6,0,0,0
novelMiR_198_1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_75_1-41,0,0,0,8,6,0,0,0,8,0,0,0,0,0,7,0,9,0,0,0,0,0,0,7,5,0,10,0,14,0
novelMiR_206_1,0,6,0,0,9,0,11,0,0,0,0,0,0,7,0,0,22,0,0,0,21,0,0,0,0,0,8,7,12,0
novelMiR_207,0,0,34,0,16,22,12,0,0,0,0,16,0,14,82,0,0,0,10,0,58,0,0,0,0,24,20,0,0,0
novelMiR_21_1-2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0
novelMiR_212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
novelMiR_213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
novelMiR_214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
novelMiR_215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,13,7,0,0,0
novelMiR_39-4,0,972,904,486,2086,1050,648,0,686,50,0,184,0,294,1004,630,1004,0,96,0,1450,200,0,1198,0,1646,2310,1032,1358,0
novelMiR_39-7,0,972,904,0,2086,1050,648,0,0,50,0,184,0,294,1004,630,1004,0,96,0,1450,200,0,1198,0,1646,2310,1032,1358,0
novelMiR_220,0,21,0,0,8,0,8,0,0,0,0,0,0,9,0,0,11,0,0,0,10,0,0,0,0,17,27,0,0,0
novelMiR_75_1-21,0,0,0,16,12,0,0,0,16,0,0,0,0,0,14,0,18,0,0,0,0,0,0,14,10,0,20,0,28,0
novelMiR_223,38,66,78,0,208,0,68,0,0,0,0,0,0,64,0,0,0,24,0,0,88,0,0,114,0,82,96,30,0,0
novelMiR_226,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,10,0,0,0
novelMiR_3-6,0,150,282,99,210,90,63,0,156,0,0,36,0,30,231,30,288,0,0,0,441,48,0,261,90,180,414,99,267,96
novelMiR_75_1-4,0,0,0,16,12,0,0,0,16,0,0,0,0,0,14,0,18,0,0,0,0,0,0,14,10,0,20,0,28,0
novelMiR_229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
novelMiR_230,0,0,14,12,20,0,0,0,14,0,0,0,0,0,30,0,10,0,0,0,0,0,0,16,10,0,10,0,0,0
novelMiR_231,0,308,238,0,54,0,70,0,0,0,0,0,0,0,132,0,0,0,0,0,34,0,0,0,0,144,36,0,0,0
novelMiR_232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
novelMiR_233,0,17,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,17,20,0,0,0
novelMiR_142-3,1996,1888,2360,714,7578,2786,2216,92,6504,90,46,302,68,850,1438,2124,2356,226,282,0,1958,614,0,2064,1232,2650,3722,1362,5420,2808
novelMiR_75_1-12,0,0,0,8,6,0,0,0,8,0,0,0,0,0,7,0,9,0,0,0,0,0,0,7,5,0,10,0,14,0
novelMiR_236,0,14,12,12,22,0,0,0,24,0,0,0,0,0,54,0,16,0,0,0,20,0,0,64,30,18,18,32,0,0
novelMiR_238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
novelMiR_239,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0
novelMiR_241,0,0,0,61,0,0,0,0,82,0,0,0,0,0,24,0,22,0,44,0,0,0,0,20,0,14,80,0,0,0
novelMiR_98-1,45,210,378,627,246,0,102,0,696,0,0,66,0,69,333,156,330,0,54,0,318,60,0,144,207,258,636,141,552,579
novelMiR_33-1,74,47,117,0,0,0,0,8,194,0,0,0,0,69,0,35,208,13,0,0,141,0,0,112,0,0,152,0,74,46
novelMiR_249,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,0,0,0
novelMiR_253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
novelMiR_254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
novelMiR_256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,36,0,0,0,12,0,0,14,36,22,16,0,0,0
novelMiR_258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10
novelMiR_261,0,16,16,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,12,0,0,18,0,16,12,0,24,0
novelMiR_263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
novelMiR_265,0,0,0,14,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,34,36
novelMiR_267,0,0,18,0,30,12,14,0,0,0,0,0,0,10,10,0,42,0,0,0,14,0,0,20,10,14,24,0,0,0
novelMiR_265-3,0,0,0,16,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,34,36
novelMiR_164-2,106,421,908,144,716,336,259,31,524,19,29,104,21,101,698,156,432,78,35,0,1199,107,0,256,0,497,285,393,686,0
novelMiR_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
novelMiR_272,0,0,0,0,0,0,0,0,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3332,0,732,0,634,682
novelMiR_274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,104,286
novelMiR_75_1-3,0,0,0,24,18,0,0,0,24,0,0,0,0,0,21,0,27,0,0,0,0,0,0,21,15,0,30,0,42,0
novelMiR_277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,34,0
novelMiR_282,84,204,240,75,396,213,150,0,138,0,0,0,0,150,444,0,309,27,30,0,225,0,0,234,96,288,99,27,75,0
novelMiR_142-1,2988,2826,3537,1071,11361,4176,3321,138,9753,135,69,453,102,1275,2157,3171,3531,339,423,0,2934,921,0,3093,1842,3975,5580,2040,8121,4206
novelMiR_286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,0,0
novelMiR_287,0,0,0,5,0,7,0,0,0,16,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,8,5,0,0,0
novelMiR_291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,684,0,0
novelMiR_292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
novelMiR_293,0,0,0,0,0,13,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,18,0,30,18,0,0,0
novelMiR_182-1,0,1540,3603,0,0,1330,685,8,87,19,0,201,0,0,656,0,0,0,0,0,382,118,0,278,0,1315,235,0,96,0
novelMiR_133_1-1,0,12,37,0,14,0,10,0,0,0,0,0,0,16,7,0,0,7,0,0,0,0,0,13,0,0,15,0,0,0
novelMiR_76-4,0,454,0,0,0,1106,0,0,0,18,0,0,0,0,0,0,0,0,0,0,272,36,0,360,0,464,438,0,0,0
novelMiR_76-2,0,454,0,0,0,1106,0,0,0,18,0,0,0,0,0,0,0,0,0,0,272,36,0,360,0,464,438,0,0,0
novelMiR_299,0,0,0,0,20,14,0,0,0,0,0,0,0,18,0,0,20,0,0,0,0,0,0,0,0,14,16,0,20,14
novelMiR_300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
novelMiR_301,0,15,19,0,21,68,18,0,17,0,0,0,0,11,20,0,28,0,0,0,22,0,0,25,0,29,22,7,0,0
novelMiR_302,0,0,9,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,21,0,11,35,0,0,0
novelMiR_304,0,0,16,0,14,18,0,0,0,0,0,0,0,0,20,0,12,0,0,0,14,0,0,10,0,12,10,12,0,0
novelMiR_75_1-11,0,0,0,24,18,0,0,0,24,0,0,0,0,0,21,0,27,0,0,0,0,0,0,21,15,0,30,0,42,0
novelMiR_238-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
novelMiR_310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
novelMiR_310-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
novelMiR_312,0,15,0,0,18,18,0,0,0,0,0,0,0,0,0,0,15,0,0,0,24,0,0,39,0,0,48,0,0,0
novelMiR_316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0
novelMiR_206_1-1,0,21,0,0,30,0,33,0,0,0,0,0,0,21,0,0,75,0,0,0,66,0,0,0,0,0,24,21,48,0
novelMiR_320,35,150,240,85,235,140,70,0,95,0,0,30,0,50,130,0,300,0,0,0,155,0,0,305,85,285,165,75,90,0
novelMiR_321,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,29,0,0
novelMiR_238-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
novelMiR_326,0,0,0,0,15,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,15,0,0,0
novelMiR_327,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,13,0,0,0
novelMiR_3-5,0,350,0,231,490,0,0,0,364,0,0,84,0,70,539,70,672,0,0,0,1029,112,0,609,210,420,966,231,623,224
novelMiR_321-1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,29,0,0
novelMiR_333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
novelMiR_238-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
novelMiR_265-1,0,0,0,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,17,18
novelMiR_6_1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
novelMiR_75_1-25,0,0,0,8,6,0,0,0,8,0,0,0,0,0,7,0,9,0,0,0,0,0,0,7,5,0,10,0,14,0
novelMiR_222_1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_75_1-19,0,0,0,32,24,0,0,0,32,0,0,0,0,0,28,0,36,0,0,0,0,0,0,28,20,0,40,0,56,0
novelMiR_226_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
novelMiR_227_1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,23
novelMiR_75_1-20,0,0,0,16,12,0,0,0,16,0,0,0,0,0,14,0,18,0,0,0,0,0,0,14,10,0,20,0,28,0
novelMiR_233-1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,13,0
novelMiR_252_1,0,0,6,0,16,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,11,0,0,13,0,17,0,0,0,0
novelMiR_98-3,0,0,24,12,24,28,0,0,24,0,0,0,0,0,0,0,28,0,0,0,22,0,0,14,24,22,28,0,24,0
novelMiR_256_1,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_260_1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,9,0,5,0,0
novelMiR_75_1-8,0,0,0,24,18,0,0,0,24,0,0,0,0,0,21,0,27,0,0,0,0,0,0,0,15,0,30,0,42,0
novelMiR_273_1,0,0,0,0,20,0,0,0,0,0,0,0,0,16,0,0,32,0,12,0,38,0,0,0,0,20,0,0,16,0
novelMiR_156-1,1134,1134,1386,351,3834,1560,1182,45,2541,18,18,180,0,540,1029,750,1377,111,144,0,1161,342,0,1125,759,1458,1815,684,2289,960
novelMiR_275_1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_21-4,78,0,71,76,138,0,0,0,67,0,0,0,0,128,66,0,0,0,0,0,0,9,0,0,76,0,0,0,0,0
novelMiR_164-1,318,1263,2724,432,2148,1008,777,93,1572,57,87,312,63,303,2094,468,1296,234,105,0,3597,321,0,768,0,1491,855,1179,2058,0
novelMiR_75_1-10,0,0,0,24,18,0,0,0,24,0,0,0,0,0,21,0,27,0,0,0,0,0,0,21,15,0,30,0,42,0
novelMiR_304_1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_175-2,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_307_1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18,0,0,16,0,0,0,0,0,0
novelMiR_313_1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_319_1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_320_1,0,17,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_13_1-5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_329_1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_44_1-7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_40_1-1,0,0,48,0,41,557,28,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,51,0,0,0,212,97,0
novelMiR_40_1-2,0,0,48,0,41,557,28,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,51,0,0,0,212,97,0
novelMiR_21_1-1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0
novelMiR_229_1,0,21,0,0,8,0,8,0,0,0,0,0,0,9,0,0,11,0,0,0,10,0,0,0,0,17,27,0,0,0
novelMiR_234_1,0,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,12,0
novelMiR_44_1-5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_244_1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_50_1-1,0,5,0,0,12,0,0,0,11,0,0,0,0,0,0,0,14,0,0,0,5,5,0,0,0,0,0,0,29,19
novelMiR_263_1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_44_1-1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_284_1,0,0,0,0,45,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,17,0,0,0,0
novelMiR_286_1,0,0,0,0,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_75_1-7,0,0,0,24,18,0,0,0,24,0,0,0,0,0,21,0,27,0,0,0,0,0,0,21,15,0,30,0,42,0
novelMiR_296_1,0,0,0,0,52,42,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,14,0,0,40,0
novelMiR_180_1-1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_298_1,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_27_1-8,5,0,121,0,0,40,25,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
novelMiR_13_1-3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_323_1,17,0,97,0,34,55,36,0,0,9,0,0,0,15,0,0,0,9,0,0,0,0,0,0,41,60,0,24,0,0
novelMiR_333_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
novelMiR_335_1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_341,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,10,0
novelMiR_199-1,0,0,0,118,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
novelMiR_341-4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,10,0
novelMiR_352,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,12,0,0,0,0,0,0
novelMiR_355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
novelMiR_44_1-8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_340_1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_343_1,0,0,0,0,48,0,0,0,24,0,0,0,0,36,111,0,27,0,0,0,63,21,0,0,0,0,0,0,0,0
novelMiR_124_1-1,0,42,254,76,76,196,0,0,0,0,0,36,0,30,0,0,0,0,0,0,0,0,0,0,92,114,42,0,0,0
